OP_UNIQUE_CARRIER,ORIGIN_AIRPORT,DEST_AIRPORT,CARRIER_TYPE,ROUTE_TYPE,ORIGIN_TIER,CATE_T1,DOWNSTREAM_SPILLOVER,RECOVERY_WINDOW,ROUTE_30DAY_DISR_RATE,TOPSIS_SCORE,TOPSIS_RANK,NEXT_DISRUPTED,RANK_LONGEST_DELAY,RANK_EARLIEST_DEP,RANK_SPILLOVER,RANK_CATE_ONLY,RANK_RANDOM
AA,BFL,PHX,Mainline,Hub-to-Spoke,Small,0.52974224,1,780,0.2722222222222222,1.0,1,0.0,1,1,1,1,1
9E,AVL,LGA,Regional,Hub-to-Spoke,Small,0.62635255,1,406,0.1333333333333333,1.0,1,1.0,1,1,1,1,3
WN,OMA,DEN,LCC,Hub-to-Hub,Medium,0.6214731,2,460,0.3015873015873015,1.0,1,0.0,2,1,1,1,4
9E,BGR,LGA,Regional,Hub-to-Spoke,Small,0.6377491,0,85,0.1944444444444444,1.0,1,1.0,1,1,1,1,2
MQ,ABI,DFW,Regional,Hub-to-Spoke,Small,0.41721955,3,750,0.1527777777777777,1.0,1,0.0,3,1,1,1,1
MQ,SHV,DFW,Regional,Hub-to-Spoke,Small,0.65907586,1,513,0.1638888888888888,1.0,1,1.0,2,1,1,1,2
OO,FWA,ORD,Regional,Hub-to-Spoke,Small,0.5580592,2,720,0.2944444444444444,1.0,1,0.0,3,1,1,1,2
OO,ROW,DFW,Regional,Hub-to-Spoke,Small,0.52910936,1,767,0.15,1.0,1,1.0,2,1,1,1,2
MQ,BTR,DFW,Regional,Hub-to-Spoke,Small,0.6437253,1,525,0.2055555555555555,1.0,1,0.0,1,1,1,1,3
MQ,VPS,DFW,Regional,Hub-to-Spoke,Small,0.50706184,1,451,0.2722222222222222,1.0,1,0.0,2,1,2,1,2
G4,SFB,FNT,ULCC,Spoke-to-Spoke,Small,0.57825774,0,426,0.5666666666666667,1.0,1,0.0,3,1,1,1,2
B6,STT,SJU,LCC,Hub-to-Spoke,Small,0.44700852,1,420,0.1999999999999999,1.0,1,0.0,3,1,1,1,1
NK,BQN,MCO,ULCC,Hub-to-Spoke,Small,0.56134516,0,0,0.3944444444444445,1.0,1,1.0,3,4,4,1,1
UA,CID,ORD,Mainline,Hub-to-Spoke,Small,0.48201132,0,744,0.19,1.0,1,0.0,1,1,2,1,2
OO,MAF,DFW,Regional,Hub-to-Spoke,Small,0.5896636,0,395,0.2222222222222222,1.0,1,0.0,2,1,2,1,2
OO,GFK,MSP,Regional,Hub-to-Spoke,Small,0.5631567,2,840,0.1111111111111111,1.0,1,0.0,3,1,1,1,3
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.4968388,7,445,0.1704656862745097,1.0,1,0.0,2,1,1,1,2
AA,VPS,DFW,Mainline,Hub-to-Spoke,Small,0.5051141,0,190,0.325,1.0,1,1.0,1,1,2,1,1
MQ,JAN,DFW,Regional,Hub-to-Spoke,Small,0.5506846,1,272,0.1111111111111111,1.0,1,0.0,3,1,1,1,3
B6,BQN,MCO,LCC,Hub-to-Spoke,Small,0.50697446,0,0,0.3944444444444445,1.0,1,0.0,1,4,1,1,2
OO,SBA,SFO,Regional,Hub-to-Spoke,Small,0.5246287,1,515,0.1388888888888888,1.0,1,1.0,2,1,1,1,3
AA,TUL,DFW,Mainline,Hub-to-Hub,Medium,0.4828297,4,780,0.2006349206349206,1.0,1,1.0,1,1,1,1,4
OO,MOB,ATL,Regional,Hub-to-Spoke,Small,0.6465578,2,510,0.1027777777777777,1.0,1,0.0,1,1,1,1,2
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.5282945,9,690,0.1801470588235294,1.0,1,0.0,1,1,1,1,2
OO,COS,DEN,Regional,Hub-to-Spoke,Small,0.54954976,3,579,0.1409932659932659,1.0,1,0.0,1,1,1,1,2
MQ,SJT,DFW,Regional,Hub-to-Spoke,Small,0.46954662,2,770,0.1305555555555555,1.0,1,0.0,1,1,1,1,1
MQ,ICT,DFW,Regional,Hub-to-Spoke,Small,0.5966713,2,362,0.2172222222222222,1.0,1,0.0,1,1,1,1,1
OO,TRI,ATL,Regional,Hub-to-Spoke,Small,0.691725,1,484,0.1027777777777778,1.0,1,0.0,1,1,2,1,1
UA,TUL,DEN,Mainline,Hub-to-Hub,Medium,0.47212502,1,780,0.2094444444444444,1.0,1,1.0,4,1,1,1,1
OO,AGS,ATL,Regional,Hub-to-Spoke,Small,0.6232747,5,810,0.1655555555555555,1.0,1,0.0,3,1,1,1,2
MQ,SBP,PHX,Regional,Hub-to-Spoke,Small,0.544676,1,407,0.4666666666666667,1.0,1,1.0,3,1,1,1,3
AA,JAC,DFW,Mainline,Hub-to-Spoke,Small,0.5625921,1,363,0.4166666666666667,1.0,1,0.0,3,1,1,1,3
MQ,VPS,DFW,Regional,Hub-to-Spoke,Small,0.53193945,1,451,0.3027777777777777,1.0,1,0.0,2,1,1,1,1
G4,TOL,PGD,ULCC,Spoke-to-Spoke,Small,0.5596289,1,506,0.2333333333333333,1.0,1,1.0,3,1,1,1,2
MQ,SBP,PHX,Regional,Hub-to-Spoke,Small,0.50516546,1,407,0.4333333333333333,1.0,1,1.0,1,1,1,1,2
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.42391315,5,350,0.2579979360165118,1.0,1,1.0,1,1,1,1,2
9E,MGM,ATL,Regional,Hub-to-Spoke,Small,0.70453817,1,534,0.1722222222222222,1.0,1,1.0,3,1,1,1,2
OO,RDM,SFO,Regional,Hub-to-Spoke,Small,0.55506545,3,777,0.2138888888888888,1.0,1,0.0,2,1,1,1,3
OO,LBB,DFW,Regional,Hub-to-Spoke,Small,0.63356704,0,370,0.2766666666666666,1.0,1,0.0,3,1,3,1,1
G4,FNT,SFB,ULCC,Spoke-to-Spoke,Small,0.600871,1,477,0.3666666666666666,1.0,1,0.0,3,1,1,1,3
HA,LIH,HNL,Mainline,Hub-to-Hub,Medium,0.55192304,12,511,0.2910235899366334,1.0,1,1.0,3,1,1,1,5
DL,LEX,ATL,Mainline,Hub-to-Spoke,Small,0.57673347,1,282,0.1283333333333333,1.0,1,0.0,1,1,1,1,3
B6,STT,SJU,LCC,Hub-to-Spoke,Small,0.5009195,1,380,0.2333333333333333,1.0,1,0.0,2,1,1,1,3
AS,FAI,SEA,Mainline,Hub-to-Spoke,Small,0.33838263,3,1090,0.18,1.0,1,0.0,1,1,1,1,3
NK,ACY,FLL,ULCC,Hub-to-Spoke,Small,0.5850935,1,523,0.5166666666666667,1.0,1,0.0,2,1,1,1,1
OO,AGS,ATL,Regional,Hub-to-Spoke,Small,0.51983726,2,720,0.2466666666666666,1.0,1,0.0,3,1,1,1,2
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.43101028,7,450,0.2330521155830753,1.0,1,0.0,2,1,1,1,1
MQ,HSV,DFW,Regional,Hub-to-Spoke,Small,0.65108246,3,480,0.1919047619047619,1.0,1,0.0,2,1,1,1,3
OO,ASE,DEN,Regional,Hub-to-Spoke,Small,0.6607122,2,330,0.3084126984126983,1.0,1,1.0,3,1,1,1,1
9E,BTV,JFK,Regional,Hub-to-Spoke,Small,0.5044837,1,816,0.1577777777777777,1.0,1,0.0,2,1,1,1,1
MQ,BRO,DFW,Regional,Hub-to-Spoke,Small,0.70861256,1,462,0.1888888888888888,1.0,1,1.0,3,1,1,1,1
MQ,LFT,DFW,Regional,Hub-to-Spoke,Small,0.6568344,1,496,0.1533333333333333,1.0,1,1.0,3,1,1,1,2
OO,SAF,DFW,Regional,Hub-to-Spoke,Small,0.7637817,2,484,0.1111111111111111,1.0,1,1.0,2,1,1,1,4
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.42016488,5,349,0.2629626762985896,1.0,1,1.0,1,1,1,1,1
HA,LIH,HNL,Mainline,Hub-to-Hub,Medium,0.55090946,12,511,0.3351690325946618,1.0,1,1.0,12,1,1,1,12
OO,MLI,ORD,Regional,Hub-to-Spoke,Small,0.69790286,1,481,0.1755555555555555,1.0,1,0.0,1,1,1,1,3
AA,ELP,DFW,Mainline,Hub-to-Hub,Medium,0.48064426,0,116,0.2216666666666666,1.0,1,0.0,2,1,1,1,1
OO,ICT,IAH,Regional,Hub-to-Spoke,Small,0.7050439,0,439,0.2,1.0,1,0.0,2,1,1,1,1
OH,SHV,DFW,Regional,Hub-to-Spoke,Small,0.7075652,1,516,0.2157142857142857,1.0,1,0.0,3,1,1,1,4
DL,GSP,ATL,Mainline,Hub-to-Hub,Medium,0.5502393,0,75,0.0993518518518518,1.0,1,0.0,2,1,2,1,1
OO,SBA,SFO,Regional,Hub-to-Spoke,Small,0.66741,1,492,0.3027777777777777,1.0,1,0.0,4,1,1,1,2
WN,MHT,BWI,LCC,Hub-to-Spoke,Small,0.50623894,2,380,0.2383333333333333,1.0,1,0.0,3,1,1,1,2
OO,SBA,SFO,Regional,Hub-to-Spoke,Small,0.6402976,1,492,0.3194444444444444,1.0,1,0.0,4,1,1,1,3
OO,COS,DEN,Regional,Hub-to-Spoke,Small,0.7451794,2,196,0.188073038073038,1.0,1,0.0,2,1,1,1,1
OO,SBA,SFO,Regional,Hub-to-Spoke,Small,0.5672663,1,492,0.3416666666666667,1.0,1,0.0,3,1,2,1,4
B6,PVD,MCO,LCC,Hub-to-Hub,Medium,0.52840805,0,120,0.2461111111111111,1.0,1,1.0,2,1,1,1,1
OO,SBA,SFO,Regional,Hub-to-Spoke,Small,0.63100004,1,492,0.35,1.0,1,0.0,2,1,1,1,2
G4,SCK,LAS,ULCC,Hub-to-Spoke,NonHub,0.63019395,1,410,0.5333333333333333,1.0,1,0.0,3,1,1,1,1
OO,MGM,ATL,Regional,Hub-to-Spoke,Small,0.57369685,2,780,0.2305555555555555,1.0,1,0.0,3,1,1,1,1
WN,COS,DEN,LCC,Hub-to-Spoke,Small,0.49452838,2,530,0.1825174825174825,1.0,1,1.0,2,1,1,1,1
B6,SYR,MCO,LCC,Hub-to-Spoke,Small,0.56087476,0,0,0.2888888888888888,1.0,1,1.0,3,1,1,1,1
MQ,TLH,MIA,Regional,Hub-to-Spoke,Small,0.68383616,1,503,0.2111111111111111,1.0,1,0.0,2,1,1,1,3
AA,VPS,CLT,Mainline,Hub-to-Spoke,Small,0.5336444,1,360,0.2722222222222222,1.0,1,0.0,2,1,1,1,1
UA,BIL,DEN,Mainline,Hub-to-Spoke,Small,0.685591,0,264,0.1416666666666666,1.0,1,0.0,2,1,3,1,1
OO,ASE,DEN,Regional,Hub-to-Spoke,Small,0.55598074,5,679,0.2138888888888888,1.0,1,0.0,2,1,1,1,1
WN,KOA,HNL,LCC,Hub-to-Hub,Medium,0.4435039,3,515,0.2982338917121526,1.0,1,0.0,1,1,1,1,2
MQ,ICT,DFW,Regional,Hub-to-Spoke,Small,0.5171489,0,148,0.2306349206349206,1.0,1,1.0,2,1,2,1,2
MQ,ICT,DFW,Regional,Hub-to-Spoke,Small,0.6934875,0,148,0.2417460317460317,1.0,1,0.0,3,1,2,1,3
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.4949009,10,680,0.2376436188510492,1.0,1,0.0,4,1,1,1,3
G4,SRQ,CVG,ULCC,Hub-to-Spoke,Small,0.5521435,0,379,0.3333333333333333,1.0,1,1.0,2,1,2,1,3
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.45891708,13,780,0.2380793486985437,1.0,1,0.0,1,1,1,1,2
OO,SAF,DFW,Regional,Hub-to-Spoke,Small,0.6834105,2,535,0.1166666666666666,1.0,1,1.0,3,1,1,1,2
9E,GSO,LGA,Regional,Hub-to-Spoke,Small,0.66312486,0,30,0.0689682539682539,1.0,1,0.0,1,1,1,1,1
G4,SCK,LAS,ULCC,Hub-to-Spoke,NonHub,0.70869243,1,410,0.5833333333333334,1.0,1,1.0,3,1,1,1,1
AA,MFE,DFW,Mainline,Hub-to-Spoke,Small,0.55410624,2,461,0.1733333333333333,1.0,1,0.0,3,1,1,1,1
HA,LIH,HNL,Mainline,Hub-to-Hub,Medium,0.3512705,11,480,0.2500809021895978,1.0,1,0.0,2,1,1,1,2
MQ,XNA,DFW,Regional,Hub-to-Spoke,Small,0.4787508,3,274,0.2015873015873016,1.0,1,1.0,3,1,1,1,1
MQ,ICT,DFW,Regional,Hub-to-Spoke,Small,0.56162065,1,144,0.2625396825396825,1.0,1,0.0,2,1,1,1,1
YX,ACK,LGA,Regional,Hub-to-Spoke,Small,0.6427194,1,370,0.175,1.0,1,1.0,1,1,1,1,2
9E,CHO,LGA,Regional,Hub-to-Spoke,Small,0.60444635,1,391,0.055,1.0,1,1.0,2,1,1,1,2
MQ,TLH,MIA,Regional,Hub-to-Spoke,Small,0.69527185,1,504,0.2277777777777777,1.0,1,1.0,3,1,1,1,1
9E,CHO,LGA,Regional,Hub-to-Spoke,Small,0.76515526,1,391,0.09,1.0,1,0.0,1,1,1,1,1
MQ,TLH,MIA,Regional,Hub-to-Spoke,Small,0.6773139,1,504,0.25,1.0,1,0.0,2,1,2,1,3
MQ,CRP,DFW,Regional,Hub-to-Spoke,Small,0.6258211,3,507,0.1493650793650793,1.0,1,1.0,1,1,1,1,4
B6,PSE,MCO,LCC,Hub-to-Spoke,Small,0.44013837,0,1036,0.3888888888888889,1.0,1,0.0,2,1,2,1,1
B6,STT,SJU,LCC,Hub-to-Spoke,Small,0.4468562,0,432,0.4333333333333333,1.0,1,1.0,3,1,1,1,3
DL,TLH,ATL,Mainline,Hub-to-Spoke,Small,0.5575945,1,283,0.0955555555555555,1.0,1,1.0,2,1,1,1,1
OO,MSO,DEN,Regional,Hub-to-Spoke,Small,0.4733147,1,504,0.1916666666666666,1.0,1,1.0,2,1,1,1,1
WN,RNO,LAS,LCC,Hub-to-Hub,Medium,0.5758093,7,470,0.2433669108669108,1.0,1,0.0,1,1,1,1,10
B6,ACK,BOS,LCC,Hub-to-Spoke,Small,0.5969951,0,271,0.2166666666666666,1.0,1,1.0,1,1,2,1,3
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.58144253,7,350,0.1739353285173718,1.0,1,1.0,2,1,1,1,1
OH,DAY,CLT,Regional,Hub-to-Spoke,Small,0.601242,1,325,0.1083333333333333,1.0,1,1.0,2,1,1,1,3
9E,MLU,ATL,Regional,Hub-to-Spoke,Small,0.5659656,1,447,0.2277777777777777,1.0,1,0.0,1,1,1,1,1
OO,PSP,DEN,Regional,Hub-to-Hub,Medium,0.55820584,0,340,0.3388888888888888,1.0,1,0.0,2,1,2,1,1
MQ,AMA,DFW,Regional,Hub-to-Spoke,Small,0.73567456,2,392,0.2551587301587302,1.0,1,1.0,3,1,1,1,4
AA,ELP,DFW,Mainline,Hub-to-Hub,Medium,0.4990549,1,394,0.2851190476190476,1.0,1,1.0,1,1,1,1,3
AA,TUS,DFW,Mainline,Hub-to-Hub,Medium,0.45055872,1,407,0.25,1.0,1,1.0,3,1,1,1,3
OO,GRB,ORD,Regional,Hub-to-Spoke,Small,0.6103315,1,196,0.1305555555555555,1.0,1,1.0,1,1,1,1,1
DL,GNV,ATL,Mainline,Hub-to-Spoke,Small,0.5556097,2,297,0.2016666666666667,1.0,1,1.0,1,1,1,1,1
G4,PGD,AVL,ULCC,Spoke-to-Spoke,Small,0.587912,0,221,0.2666666666666666,1.0,1,1.0,3,1,1,1,3
OO,PSP,DEN,Regional,Hub-to-Hub,Medium,0.5765696,0,343,0.3683333333333333,1.0,1,1.0,2,1,2,1,2
OO,ATW,MSP,Regional,Hub-to-Spoke,Small,0.5832124,0,395,0.1222222222222222,1.0,1,0.0,1,1,3,1,1
OO,BIL,DEN,Regional,Hub-to-Spoke,Small,0.6459388,0,507,0.2833333333333333,1.0,1,0.0,1,1,3,1,2
WN,HRL,HOU,LCC,Hub-to-Spoke,Small,0.6105061,1,400,0.1277777777777778,1.0,1,1.0,1,1,1,1,2
YX,BGR,EWR,Regional,Hub-to-Spoke,Small,0.5067048,0,380,0.2611111111111111,1.0,1,1.0,3,1,3,1,1
B6,PSE,MCO,LCC,Hub-to-Spoke,Small,0.50401884,0,987,0.45,1.0,1,1.0,2,1,2,1,2
OO,ASE,DFW,Regional,Hub-to-Spoke,Small,0.5883787,3,515,0.3355555555555555,1.0,1,0.0,3,1,1,1,3
MQ,BRO,DFW,Regional,Hub-to-Spoke,Small,0.7313349,1,481,0.1283333333333333,1.0,1,0.0,2,1,1,1,1
B6,PSE,MCO,LCC,Hub-to-Spoke,Small,0.50404215,0,987,0.4611111111111111,1.0,1,1.0,3,1,1,1,4
AA,FAT,PHX,Mainline,Hub-to-Spoke,Small,0.503645,1,382,0.2361111111111111,1.0,1,1.0,1,1,2,1,1
AA,AMA,DFW,Mainline,Hub-to-Spoke,Small,0.508726,1,765,0.2354761904761904,1.0,1,0.0,1,1,1,1,3
OO,MGM,ATL,Regional,Hub-to-Spoke,Small,0.60774416,2,776,0.2027777777777777,1.0,1,0.0,3,1,1,1,2
WN,ISP,MCO,LCC,Hub-to-Spoke,Small,0.46882722,0,415,0.5555555555555555,1.0,1,0.0,4,1,3,1,2
OO,SHV,DFW,Regional,Hub-to-Spoke,Small,0.6879173,2,519,0.2211111111111111,1.0,1,1.0,2,1,1,1,5
B6,STT,SJU,LCC,Hub-to-Spoke,Small,0.5617995,1,420,0.6166666666666667,1.0,1,1.0,3,1,1,1,5
AS,FAI,SEA,Mainline,Hub-to-Spoke,Small,0.31245553,5,1105,0.119047619047619,1.0,1,0.0,1,1,1,1,3
F9,STT,SJU,ULCC,Hub-to-Spoke,Small,0.5575463,0,373,0.6166666666666667,1.0,1,0.0,2,1,2,1,1
OH,PIA,CLT,Regional,Hub-to-Spoke,Small,0.6694992,0,148,0.2,1.0,1,0.0,1,1,3,1,2
OO,RDD,SFO,Regional,Hub-to-Spoke,Small,0.6258818,1,268,0.1666666666666666,1.0,1,1.0,1,1,1,1,1
DL,BTR,ATL,Mainline,Hub-to-Spoke,Small,0.5886105,2,508,0.1683333333333333,1.0,1,0.0,1,1,1,1,2
B6,ACK,JFK,LCC,Hub-to-Spoke,Small,0.4846917,1,341,0.3666666666666666,1.0,1,1.0,1,1,1,1,1
9E,EVV,ATL,Regional,Hub-to-Spoke,Small,0.5348258,2,780,0.1611111111111111,1.0,1,0.0,2,1,1,1,3
MQ,LBB,DFW,Regional,Hub-to-Spoke,Small,0.49704942,2,163,0.1569444444444444,1.0,1,1.0,3,1,1,1,2
F9,STT,SJU,ULCC,Hub-to-Spoke,Small,0.50000787,0,373,0.7,1.0,1,0.0,5,1,2,1,4
OO,PIA,ORD,Regional,Hub-to-Spoke,Small,0.6261016,1,486,0.2333333333333333,1.0,1,1.0,3,1,1,1,1
OO,DAY,ORD,Regional,Hub-to-Spoke,Small,0.6659163,1,329,0.1883333333333333,1.0,1,1.0,1,1,1,1,3
F9,STT,SJU,ULCC,Hub-to-Spoke,Small,0.4911337,0,388,0.6833333333333333,1.0,1,1.0,2,1,2,1,3
OH,TYS,CLT,Regional,Hub-to-Hub,Medium,0.66897607,3,465,0.2547619047619047,1.0,1,0.0,1,1,1,1,1
OO,GJT,DEN,Regional,Hub-to-Spoke,Small,0.64057046,1,224,0.3833333333333333,1.0,1,1.0,3,1,1,1,1
B6,BQN,MCO,LCC,Hub-to-Spoke,Small,0.5962542,1,1021,0.5277777777777778,1.0,1,0.0,1,1,1,1,4
OO,DRO,DFW,Regional,Hub-to-Spoke,Small,0.5469198,2,514,0.1055555555555555,1.0,1,0.0,1,1,1,1,1
OO,PIA,ORD,Regional,Hub-to-Spoke,Small,0.56985277,1,486,0.2333333333333333,1.0,1,1.0,2,1,1,1,1
DL,GSP,ATL,Mainline,Hub-to-Hub,Medium,0.506728,1,245,0.1703571428571428,1.0,1,0.0,4,1,1,1,1
OH,GSP,CLT,Regional,Hub-to-Hub,Medium,0.5425154,1,366,0.1658730158730158,1.0,1,0.0,3,1,1,1,3
G4,AVL,FLL,ULCC,Hub-to-Spoke,Small,0.5365798,1,403,0.4166666666666667,1.0,1,1.0,3,1,1,1,3
OO,GJT,DEN,Regional,Hub-to-Spoke,Small,0.4426421,1,224,0.2833333333333333,1.0,1,0.0,2,1,1,1,2
WN,BLI,LAS,LCC,Hub-to-Spoke,Small,0.49557623,0,310,0.2333333333333333,1.0,1,1.0,3,1,2,1,1
OO,LIT,ORD,Regional,Hub-to-Hub,Medium,0.6829158,0,462,0.2444444444444444,1.0,1,0.0,3,1,4,1,3
NK,ACY,FLL,ULCC,Hub-to-Spoke,Small,0.5165109,1,529,0.3666666666666666,1.0,1,0.0,2,1,1,1,1
OO,SBN,ORD,Regional,Hub-to-Spoke,Small,0.65526813,2,347,0.1325396825396825,1.0,1,1.0,1,1,1,1,1
MQ,ROC,ORD,Regional,Hub-to-Hub,Medium,0.50694335,0,434,0.2488888888888888,1.0,1,0.0,3,1,4,1,1
DL,GNV,ATL,Mainline,Hub-to-Spoke,Small,0.5692763,3,519,0.1388888888888889,1.0,1,0.0,2,1,1,1,1
OO,GRK,DFW,Regional,Hub-to-Spoke,Small,0.7789305,1,515,0.1622222222222222,1.0,1,0.0,3,1,2,1,3
WN,GEG,DEN,LCC,Hub-to-Hub,Medium,0.4293371,1,465,0.1388888888888888,1.0,1,1.0,1,1,1,1,3
OH,CAE,CLT,Regional,Hub-to-Spoke,Small,0.760276,3,365,0.1333333333333333,1.0,1,0.0,1,1,1,1,1
F9,BDL,MCO,ULCC,Hub-to-Hub,Medium,0.5924355,0,462,0.3346031746031746,1.0,1,0.0,1,1,3,1,1
OO,LFT,IAH,Regional,Hub-to-Spoke,Small,0.63029826,0,300,0.1833333333333333,1.0,1,0.0,3,1,3,1,2
B6,STT,SJU,LCC,Hub-to-Spoke,Small,0.5764031,0,210,0.45,1.0,1,1.0,1,1,1,1,3
OO,SCE,ORD,Regional,Hub-to-Spoke,Small,0.7153754,3,495,0.12,1.0,1,1.0,2,1,1,1,3
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.58267844,12,780,0.0389198486412108,1.0,1,0.0,1,1,1,1,3
OO,FLG,PHX,Regional,Hub-to-Spoke,Small,0.755106,2,517,0.1111111111111111,1.0,1,0.0,1,1,1,1,1
AA,COS,DFW,Mainline,Hub-to-Spoke,Small,0.58174956,0,244,0.1666666666666666,1.0,1,0.0,1,1,1,1,3
MQ,ICT,DFW,Regional,Hub-to-Spoke,Small,0.696928,1,153,0.1200396825396825,1.0,1,1.0,2,1,1,1,1
G4,AZA,PVU,ULCC,Spoke-to-Spoke,Small,0.6127918,1,198,0.35,1.0,1,1.0,2,1,1,1,1
OO,FSD,ORD,Regional,Hub-to-Spoke,Small,0.5937079,0,450,0.1455555555555555,1.0,1,0.0,1,1,2,1,1
NK,ACY,FLL,ULCC,Hub-to-Spoke,Small,0.6381084,1,515,0.2333333333333333,1.0,1,1.0,4,1,1,1,3
9E,CHA,ATL,Regional,Hub-to-Spoke,Small,0.6749878,0,165,0.0904761904761904,1.0,1,0.0,3,1,1,1,3
G4,AZA,PVU,ULCC,Spoke-to-Spoke,Small,0.58755815,1,198,0.3555555555555555,1.0,1,0.0,2,1,1,1,2
